epoch,train/lr,train/loss,val/loss,train/acc,train/f1
2,0.000989084726566536,0.025484379080028426,0.033206073603793684,0.004028103044496487,0.0
4,0.0009046039886902865,0.025168120852948946,0.03261361395319303,0.0047306791569086655,0.0
6,0.0007502500000000003,0.02411360346280018,0.03311702528712796,0.011381733021077284,0.0
8,0.0005527119674021932,0.022561186972070987,0.03232891755361183,0.03185011709601874,4.68384074941452e-05
10,0.000346146011309714,0.020962274681103652,0.03156192973256111,0.07021077283372365,0.0008274785323965651
12,0.00016626926212375052,0.01906074409435762,0.03542138475413416,0.134519906323185,0.0082903981264637
14,4.418404390752082e-05,0.017495017497947307,0.03415583804541943,0.2049648711943794,0.024192037470725996
16,1e-06,0.016937861779611096,0.03499333122197319,0.2292271662763466,0.0306791569086651
18,4.418404390752087e-05,0.016914826152542778,0.03517026834043802,0.24004683840749413,0.03481654957064793
20,0.00016626926212375023,0.01674180808578628,0.036722646770524045,0.24669789227166275,0.048454332552693206
22,0.0003461460113097139,0.01630894611333839,0.03581254659037964,0.26262295081967213,0.07215768930523028
24,0.000552711967402193,0.01577425588328781,0.03955886206206154,0.2908665105386417,0.1011319281811085
26,0.0007502500000000004,0.015021622139283234,0.03823442830174577,0.3330679156908665,0.14124902419984384
28,0.0009046039886902867,0.014186754786217108,0.036487778831346365,0.3786416861826698,0.1897423887587822
30,0.0009890847265665364,0.013215183825938401,0.03574913221539235,0.41892271662763464,0.23934426229508196
32,0.0009890847265665364,0.012133371290613374,0.038737097426372415,0.4750351288056206,0.2975175644028103
34,0.0009046039886902868,0.011050609432292793,0.036685280282707775,0.525807962529274,0.3582903981264637
36,0.0007502500000000007,0.009984422789018975,0.03669513900782548,0.576768149882904,0.42044496487119437
38,0.0005527119674021933,0.008739282858890982,0.03827263268769956,0.6346604215456675,0.48910226385636224
40,0.00034614601130971415,0.007720081922890991,0.040775219307226294,0.6797658079625293,0.5487587822014052
42,0.00016626926212375099,0.006633675006291282,0.039927443891179325,0.7299765807962529,0.6122201405152226
44,4.418404390752106e-05,0.006190974901029789,0.0402751245042857,0.7471194379391101,0.6369711163153786
46,1e-06,0.0060168938865140745,0.041124532547067195,0.7559718969555035,0.6463544106167056
48,4.418404390752114e-05,0.006094599251101259,0.041871980051783955,0.7559250585480094,0.6425058548009368
50,0.00016626926212375085,0.006242926705977564,0.044231671620817745,0.7469789227166276,0.6334270101483217
52,0.00034614601130971535,0.006532830757447911,0.044083350283258105,0.7334426229508196,0.6138251366120219
54,0.0005527119674021958,0.00711700472199218,0.03851701384958099,0.7054332552693209,0.5828181108508977
56,0.0007502500000000042,0.007469652198134192,0.043011549568059394,0.6899765807962529,0.5622248243559719
58,0.0009046039886902906,0.007691623460819687,0.046814253225046044,0.6788290398126464,0.5530913348946135
60,0.000989084726566541,0.007741717494495406,0.043610480705312656,0.6777049180327869,0.5506401249024201
62,0.0009890847265665412,0.007405995909639032,0.039655071044085076,0.692599531615925,0.5700156128024981
64,0.0009046039886902911,0.0068644805709995515,0.03702951295703065,0.7153161592505854,0.6027712724434036
66,0.0007502500000000047,0.0062072830309025506,0.03839245993717044,0.7482903981264637,0.6405698672911787
68,0.0005527119674021964,0.005519490896085738,0.04018989117706523,0.7785480093676815,0.6821233411397345
70,0.0003461460113097159,0.0046532031229575685,0.047668069893238595,0.8123185011709602,0.7290866510538642
